index,ca,c1,c2,m,f+,f-,f0,fdd,p1,p2,ba,bv,t,p,co/h2,t/h,L/M,S/M,M,MW,XLogP3,TPSA,Density,MV,RI,DM,MP,BP,L/B
57,179.6257513,-0.02684731,-0.09648615,-0.41201937,0.19,0,0.095,0.19,0.02639545,-0.01226401,98.7841822,0.554626351,393.15,20,2,3,8,5000,3.4,72.11,0.5,9.2,0.887,81.3,1.407,1.69,-108,65,0.176091259
58,85.40462423,-0.0257166,-0.08442146,-0.10774884,0.146,-0.001,0.072,0.147,0.01080123,-0.04159968,97.76892976,0.551895034,298.15,20,2,24,2.2,500,3.4,99.13,-0.5,20.3,1.03,96.2,1.47,4.09,-24,202,-0.454258372
59,149.4456458,-0.02482238,-0.09598222,-0.10774884,0.146,-0.001,0.072,0.147,0.01080123,-0.04159968,97.76892976,0.551895034,298.15,20,2,16,2.2,500,3.4,99.13,-0.5,20.3,1.03,96.2,1.47,4.09,-24,202,0.490086232
60,86.73302656,-0.02379537,-0.09731808,-0.10774884,0.146,-0.001,0.072,0.147,0.01080123,-0.04159968,97.76892976,0.551895034,298.15,20,2,16,2.2,500,3.4,99.13,-0.5,20.3,1.03,96.2,1.47,4.09,-24,202,0.490086232
61,120.3719477,-0.02711861,-0.09424106,-0.10774884,0.146,-0.001,0.072,0.147,0.01080123,-0.04159968,97.76892976,0.551895034,298.15,20,2,16,2.2,500,3.4,99.13,-0.5,20.3,1.03,96.2,1.47,4.09,-24,202,0.720159303
62,120.0400043,-0.02907543,-0.09872987,-0.10774884,0.146,-0.001,0.072,0.147,0.01080123,-0.04159968,97.76892976,0.551895034,298.15,20,2,16,2.2,500,3.4,99.13,-0.5,20.3,1.03,96.2,1.47,4.09,-24,202,0.575407797
63,157.418628,-0.02343176,-0.10109488,-0.10774884,0.146,-0.001,0.072,0.147,0.01080123,-0.04159968,97.76892976,0.551895034,298.15,20,2,20,2.2,500,3.4,99.13,-0.5,20.3,1.03,96.2,1.47,4.09,-24,202,0.477121255
64,120.1911511,-0.03087081,-0.09434844,-0.10774884,0.146,-0.001,0.072,0.147,0.01080123,-0.04159968,97.76892976,0.551895034,403.15,20,2,20,2.2,500,3.4,99.13,-0.5,20.3,1.03,96.2,1.47,4.09,-24,202,1.380211242
65,120.1911511,-0.03087081,-0.09434844,-0.10774884,0.146,-0.001,0.072,0.147,0.01080123,-0.04159968,97.76892976,0.551895034,298.15,20,2,20,2.2,500,3.4,99.13,-0.5,20.3,1.03,96.2,1.47,4.09,-24,202,1.50965048
66,88.44939006,-0.02874313,-0.10278922,-0.10774884,0.146,-0.001,0.072,0.147,0.01080123,-0.04159968,97.76892976,0.551895034,298.15,20,2,20,2.2,500,3.4,99.13,-0.5,20.3,1.03,96.2,1.47,4.09,-24,202,0.477121255
67,179.6257513,-0.02684731,-0.09648615,-0.10774884,0.146,-0.001,0.072,0.147,0.01080123,-0.04159968,97.76892976,0.551895034,298.15,20,2,16,2.2,500,3.4,99.13,-0.5,20.3,1.03,96.2,1.47,4.09,-24,202,0.500602351
68,179.6257513,-0.02684731,-0.09648615,-0.45357418,0.094,0.024,0.059,0.07,0.16998491,0.12787299,102.4254217,0.558178811,373.15,10,1,16,2,100,7.750916546,92.14,2.7,0,0.867,106.3,1.497,0.31,-95,92,-0.104735351
69,179.6257513,-0.02684731,-0.09648615,-0.45357418,0.094,0.024,0.059,0.07,0.16998491,0.12787299,102.4254217,0.558178811,373.15,10,1,16,4,100,7.750916546,92.14,2.7,0,0.867,106.3,1.497,0.31,-95,92,0.017374096
70,179.6257513,-0.02684731,-0.09648615,-0.45357418,0.094,0.024,0.059,0.07,0.16998491,0.12787299,102.4254217,0.558178811,373.15,10,1,16,6,100,7.750916546,92.14,2.7,0,0.867,106.3,1.497,0.31,-95,92,0.087150176
71,179.6257513,-0.02684731,-0.09648615,-0.45357418,0.094,0.024,0.059,0.07,0.16998491,0.12787299,102.4254217,0.558178811,373.15,5,1,16,4,100,7.750916546,92.14,2.7,0,0.867,106.3,1.497,0.31,-95,92,-0.194265228
72,179.6257513,-0.02684731,-0.09648615,-0.45357418,0.094,0.024,0.059,0.07,0.16998491,0.12787299,102.4254217,0.558178811,373.15,20,1,16,4,100,7.750916546,92.14,2.7,0,0.867,106.3,1.497,0.31,-95,92,-0.017374096
73,179.6257513,-0.02684731,-0.09648615,-0.45357418,0.094,0.024,0.059,0.07,0.16998491,0.12787299,102.4254217,0.558178811,393.15,10,1,16,4,100,7.750916546,92.14,2.7,0,0.867,106.3,1.497,0.31,-95,92,0
74,179.6257513,-0.02684731,-0.09648615,-0.45357418,0.094,0.024,0.059,0.07,0.16998491,0.12787299,102.4254217,0.558178811,353.15,10,1,16,4,100,7.750916546,92.14,2.7,0,0.867,106.3,1.497,0.31,-95,92,-0.753327667
75,179.6257513,-0.02684731,-0.09648615,-0.456124,0.144,0.01,0.077,0.134,0.16884101,0.13550215,97.27715384,0.549786852,373.15,10,1,16,2,100,7.750916546,92.14,2.7,0,0.867,106.3,1.497,0.31,-95,92,-0.104735351
76,179.6257513,-0.02684731,-0.09648615,-0.456124,0.144,0.01,0.077,0.134,0.16884101,0.13550215,97.27715384,0.549786852,373.15,10,1,16,4,100,7.750916546,92.14,2.7,0,0.867,106.3,1.497,0.31,-95,92,-0.052178012
77,179.6257513,-0.02684731,-0.09648615,-0.456124,0.144,0.01,0.077,0.134,0.16884101,0.13550215,97.27715384,0.549786852,373.15,10,1,16,6,100,7.750916546,92.14,2.7,0,0.867,106.3,1.497,0.31,-95,92,-0.017374096
78,179.6257513,-0.02684731,-0.09648615,-0.456124,0.144,0.01,0.077,0.134,0.16884101,0.13550215,97.27715384,0.549786852,373.15,5,1,16,4,100,7.750916546,92.14,2.7,0,0.867,106.3,1.497,0.31,-95,92,0.034762106
79,179.6257513,-0.02684731,-0.09648615,-0.456124,0.144,0.01,0.077,0.134,0.16884101,0.13550215,97.27715384,0.549786852,373.15,20,1,16,4,100,7.750916546,92.14,2.7,0,0.867,106.3,1.497,0.31,-95,92,0.069635928
80,179.6257513,-0.02684731,-0.09648615,-0.456124,0.144,0.01,0.077,0.134,0.16884101,0.13550215,97.27715384,0.549786852,393.15,10,1,16,4,100,7.750916546,92.14,2.7,0,0.867,106.3,1.497,0.31,-95,92,0.212608093
81,179.6257513,-0.02684731,-0.09648615,-0.456124,0.144,0.01,0.077,0.134,0.16884101,0.13550215,97.27715384,0.549786852,353.15,10,1,16,4,100,7.750916546,92.14,2.7,0,0.867,106.3,1.497,0.31,-95,92,-0.367976785
82,85.40462423,-0.0257166,-0.08442146,-0.45357418,0.094,0.024,0.059,0.07,0.16998491,0.12787299,102.4254217,0.558178811,373.15,10,1,16,4,100,7.750916546,92.14,2.7,0,0.867,106.3,1.497,0.31,-95,92,-0.288065018
83,85.40462423,-0.0257166,-0.08442146,-0.456124,0.144,0.01,0.077,0.134,0.16884101,0.13550215,97.27715384,0.549786852,373.15,10,1,16,4,100,7.750916546,92.14,2.7,0,0.867,106.3,1.497,0.31,-95,92,-0.477121255
84,87.64508797,-0.02926405,-0.09851367,-0.45357418,0.094,0.024,0.059,0.07,0.16998491,0.12787299,102.4254217,0.558178811,373.15,10,1,16,4,100,7.750916546,92.14,2.7,0,0.867,106.3,1.497,0.31,-95,92,0.017374096
85,87.64508797,-0.02926405,-0.09851367,-0.456124,0.144,0.01,0.077,0.134,0.16884101,0.13550215,97.27715384,0.549786852,373.15,10,1,16,4,100,7.750916546,92.14,2.7,0,0.867,106.3,1.497,0.31,-95,92,0.017374096
86,90.21136603,0.00261906,-0.08616506,-0.45357418,0.094,0.024,0.059,0.07,0.16998491,0.12787299,102.4254217,0.558178811,373.15,10,1,16,4,100,7.750916546,92.14,2.7,0,0.867,106.3,1.497,0.31,-95,92,0.629731418
87,90.21136603,0.00261906,-0.08616506,-0.456124,0.144,0.01,0.077,0.134,0.16884101,0.13550215,97.27715384,0.549786852,393.15,10,1,16,4,100,7.750916546,92.14,2.7,0,0.867,106.3,1.497,0.31,-95,92,0.307560863
88,157.418628,-0.02343176,-0.10109488,-0.50291995,0.147,-0.001,0.073,0.148,0.51883942,0.48345941,107.4537636,0.54916954,433.15,30,1,4,5,10000,4.5,92.14,2.7,0,0.867,106.3,1.497,0.31,-95,92,2
89,88.1398339,-0.02391834,-0.09760623,-0.50291995,0.147,-0.001,0.073,0.148,0.51883942,0.48345941,107.4537636,0.54916954,393.15,30,1,1,5,10000,4.5,92.14,2.7,0,0.867,106.3,1.497,0.31,-95,92,2
90,179.6257513,-0.02684731,-0.09648615,-0.50291995,0.147,-0.001,0.073,0.148,0.51883942,0.48345941,107.4537636,0.54916954,393.15,30,1,1,5,10000,4.5,92.14,2.7,0,0.867,106.3,1.497,0.31,-95,92,1.69019608
91,180.2455677,-0.0239468,-0.09973144,-0.50291995,0.147,-0.001,0.073,0.148,0.51883942,0.48345941,107.4537636,0.54916954,393.15,30,1,1,5,10000,4.5,92.14,2.7,0,0.867,106.3,1.497,0.31,-95,92,2
92,88.44939006,-0.02874313,-0.10278922,-0.50291995,0.147,-0.001,0.073,0.148,0.51883942,0.48345941,107.4537636,0.54916954,393.15,30,1,1,5,10000,4.5,92.14,2.7,0,0.867,106.3,1.497,0.31,-95,92,1.50965048
93,88.44939006,-0.02874313,-0.10278922,-0.50291995,0.147,-0.001,0.073,0.148,0.51883942,0.48345941,107.4537636,0.54916954,413.15,30,1,1,5,100000,4.5,92.14,2.7,0,0.867,106.3,1.497,0.31,-95,92,2
