Entry,olefin,metal,Ligand-M,ligand,solvent,T(K),p(bar),CO/H2,t(h),L/M,S/M,[M](mM),L/B,kb,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19
872,C=CCCCCCC,Rh,CC(C)(C)CCC1=CC(P->%162C3=CC=CC=C3OC3=C2C=CC=C3)=C2OC3=C(C=C(CCC(C)(C)C)C=C3P->%173C4=CC=CC=C4OC4=C3C=CC=C4)C(C)(C)C2=C1.[RhH]%16%17%18.[C-]->%18#[O+],CC(C)(C)CCC1=CC(P2C3=CC=CC=C3OC3=C2C=CC=C3)=C2OC3=C(C=C(CCC(C)(C)C)C=C3P3C4=CC=CC=C4OC4=C3C=CC=C4)C(C)(C)C2=C1,CC1=CC=CC=C1,353.15,20,1,0.30121,5,637,1,1.995635195,1839.879154,,0.997664637,99,,
873,C=CCCCCCC,Rh,CC1=CC=C2OC3=C(C=C(C)C=C3)P->%16(C3=CC(CCC(C)(C)C)=CC4=C3OC3=C(P->%175C6=CC(C)=CC=C6OC6=C5C=C(C)C=C6)C=C(CCC(C)(C)C)C=C3C4(C)C)C2=C1.[RhH]%16%17%18.[C-]->%18#[O+],CC1=CC=C2OC3=C(C=C(C)C=C3)P(C3=CC(CCC(C)(C)C)=CC4=C3OC3=C(P5C6=CC(C)=CC=C6OC6=C5C=C(C)C=C6)C=C(CCC(C)(C)C)C=C3C4(C)C)C2=C1,CC1=CC=CC=C1,353.15,20,1,0.327552105,5,637,1,1.69019608,1691.914023,,0.921495282,49,,
874,C=CCCCCCC,Rh,CCCCCCC1=CC(P->%162C3=CC(C)=CC=C3OC3=C2C=C(C)C=C3)=C2OC3=C(C=C(CCCCCC)C=C3P->%173C4=CC(C)=CC=C4OC4=C3C=C(C)C=C4)C(C)(C)C2=C1.[RhH]%16%17%18.[C-]->%18#[O+],CCCCCCC1=CC(P2C3=CC(C)=CC=C3OC3=C2C=C(C)C=C3)=C2OC3=C(C=C(CCCCCC)C=C3P3C4=CC(C)=CC=C4OC4=C3C=C(C)C=C4)C(C)(C)C2=C1,CC1=CC=CC=C1,353.15,20,1,0.359717647,5,637,1,1.50965048,1540.625,,0.876471441,32.33333333,,
875,C=CCCCCCC,Rh,CC1=CC=C2OC3=C(C=C(C)C=C3)P->%16(C3=CC(C(C)(C)CC(C)(C)C)=CC4=C3OC3=C(P->%175C6=CC(C)=CC=C6OC6=C5C=C(C)C=C6)C=C(C(C)(C)CC(C)(C)C)C=C3C4(C)C)C2=C1.[RhH]%16%17%18.[C-]->%18#[O+],CC1=CC=C2OC3=C(C=C(C)C=C3)P(C3=CC(C(C)(C)CC(C)(C)C)=CC4=C3OC3=C(P5C6=CC(C)=CC=C6OC6=C5C=C(C)C=C6)C=C(C(C)(C)CC(C)(C)C)C=C3C4(C)C)C2=C1,CC1=CC=CC=C1,353.15,20,1,0.341502778,5,637,1,1.380211242,1604.145078,,0.84419233,24,,
876,C=CCCCCCC,Rh,CCCCCCCCCCC1=CC(P->%162C3=CC(C)=CC=C3OC3=C2C=C(C)C=C3)=C2OC3=C(C=C(CCCCCCCCCC)C=C3P->%173C4=CC(C)=CC=C4OC4=C3C=C(C)C=C4)C(C)(C)C2=C1.[RhH]%16%17%18.[C-]->%18#[O+],CCCCCCCCCCC1=CC(P2C3=CC(C)=CC=C3OC3=C2C=C(C)C=C3)=C2OC3=C(C=C(CCCCCCCCCC)C=C3P3C4=CC(C)=CC=C4OC4=C3C=C(C)C=C4)C(C)(C)C2=C1,CC1=CC=CC=C1,353.15,20,1,0.43407,5,637,1,1.278753601,1247.379455,,0.818891172,19,,
877,C=CCCCCCC,Rh,CCCCCCC1=CC(P->%162C3=CC(C)=CC=C3OC3=C2C=C(C)C=C3)=C2OC3=C(C=C(CCCCCC)C=C3P->%173C4=CC(C)=CC=C4OC4=C3C=C(C)C=C4)C(C)(C)C2=C1.[RhH]%16%17%18.[C-]->%18#[O+],CCCCCCC1=CC(P2C3=CC(C)=CC=C3OC3=C2C=C(C)C=C3)=C2OC3=C(C=C(CCCCCC)C=C3P3C4=CC(C)=CC=C4OC4=C3C=C(C)C=C4)C(C)(C)C2=C1,CC1=CC=CC=C1,353.15,16,0.578947368,0.199188889,5,637,1,1.770852012,2622.335025,,0.94160898,59,,
878,C=CCCCCCC,Rh,CCCCCCC1=CC(P->%162C3=CC(C)=CC=C3OC3=C2C=C(C)C=C3)=C2OC3=C(C=C(CCCCCC)C=C3P->%173C4=CC(C)=CC=C4OC4=C3C=C(C)C=C4)C(C)(C)C2=C1.[RhH]%16%17%18.[C-]->%18#[O+],CCCCCCC1=CC(P2C3=CC(C)=CC=C3OC3=C2C=C(C)C=C3)=C2OC3=C(C=C(CCCCCC)C=C3P3C4=CC(C)=CC=C4OC4=C3C=C(C)C=C4)C(C)(C)C2=C1,CC1=CC=CC=C1,353.15,25,1.380952381,0.501106667,5,637,1,1.230448921,1131.355932,,0.806845118,17,,
879,C=CCCCCCC,Rh,CCCCCCC1=CC(P->%162C3=CC(C)=CC=C3OC3=C2C=C(C)C=C3)=C2OC3=C(C=C(CCCCCC)C=C3P->%173C4=CC(C)=CC=C4OC4=C3C=C(C)C=C4)C(C)(C)C2=C1.[RhH]%16%17%18.[C-]->%18#[O+],CCCCCCC1=CC(P2C3=CC(C)=CC=C3OC3=C2C=C(C)C=C3)=C2OC3=C(C=C(CCCCCC)C=C3P3C4=CC(C)=CC=C4OC4=C3C=C(C)C=C4)C(C)(C)C2=C1,CC1=CC=CC=C1,353.15,40.3,2.875,0.8463,5,637,1,1.146128036,677.4193548,,0.785817465,14,,
880,C=CCCCCCC,Rh,CCCCCCC1=CC(P->%162C3=CC(C)=CC=C3OC3=C2C=C(C)C=C3)=C2OC3=C(C=C(CCCCCC)C=C3P->%173C4=CC(C)=CC=C4OC4=C3C=C(C)C=C4)C(C)(C)C2=C1.[RhH]%16%17%18.[C-]->%18#[O+],CCCCCCC1=CC(P2C3=CC(C)=CC=C3OC3=C2C=C(C)C=C3)=C2OC3=C(C=C(CCCCCC)C=C3P3C4=CC(C)=CC=C4OC4=C3C=C(C)C=C4)C(C)(C)C2=C1,CC1=CC=CC=C1,353.15,11.8,3.916666667,0.729177647,5,637,1,1.505149978,716.3412127,,0.875349122,32,,
881,C=CCCCCCC,Rh,CCCCCCC1=CC(P->%162C3=CC(C)=CC=C3OC3=C2C=C(C)C=C3)=C2OC3=C(C=C(CCCCCC)C=C3P->%173C4=CC(C)=CC=C4OC4=C3C=C(C)C=C4)C(C)(C)C2=C1.[RhH]%16%17%18.[C-]->%18#[O+],CCCCCCC1=CC(P2C3=CC(C)=CC=C3OC3=C2C=C(C)C=C3)=C2OC3=C(C=C(CCCCCC)C=C3P3C4=CC(C)=CC=C4OC4=C3C=C(C)C=C4)C(C)(C)C2=C1,CC1=CC=CC=C1,353.15,14.9,1.709090909,0.428766897,5,637,1,1.491361694,1292.520492,,0.871910647,31,,
